id,ident,name,type,latitude_deg,longitude_deg,iso_country,country_name,iso_region,iata_code
2537,EINN,Shannon Airport,large_airport,52.702,-8.92482,IE,Ireland,IE-CE,SNN
2538,EISG,Sligo Airport,medium_airport,54.280200958252,-8.5992097854614,IE,Ireland,IE-SO,SXL
2539,EIWF,Waterford Airport,medium_airport,52.187199,-7.08696,IE,Ireland,IE-WD,WAT
2540,EKAH,Aarhus Airport,large_airport,56.303331,10.618286,DK,Denmark,DK-82,AAR
2541,EKBI,Billund Airport,large_airport,55.740335,9.157019,DK,Denmark,DK-83,BLL
2542,EKCH,Copenhagen Kastrup Airport,large_airport,55.617900848389,12.656000137329,DK,Denmark,DK-84,CPH
2543,EKEB,Esbjerg Airport,medium_airport,55.525902,8.5534,DK,Denmark,DK-83,EBJ
2546,EKKA,Midtjyllands Airport / Air Base Karup,medium_airport,56.297139,9.104311,DK,Denmark,DK-82,KRP
2548,EKMB,Lolland Falster Maribo Airport,medium_airport,54.699447,11.438163,DK,Denmark,DK-85,MRW
2549,EKOD,Odense Hans Christian Andersen Airport,large_airport,55.475307,10.327206,DK,Denmark,DK-83,ODE
2551,EKRK,Copenhagen Roskilde Airport,medium_airport,55.585602,12.1314,DK,Denmark,DK-85,RKE
2552,EKRN,Bornholm Airport,medium_airport,55.063301,14.7596,DK,Denmark,DK-84,RNN
2553,EKSB,Sønderborg Airport,medium_airport,54.96440124511719,9.791729927062988,DK,Denmark,DK-83,SGD
2554,EKSN,Sindal Airport,medium_airport,57.503502,10.2294,DK,Denmark,DK-81,CNL
2555,EKSP,Skrydstrup Air Base,medium_airport,55.221048,9.26702,DK,Denmark,DK-83,SKS
2556,EKSV,Skive Airport,medium_airport,56.550201,9.17298,DK,Denmark,DK-82,SQW
2557,EKTS,Thisted Airport,medium_airport,57.068802,8.70522,DK,Denmark,DK-81,TED
2559,EKVG,Vágar Airport,large_airport,62.063256,-7.275782,FO,Faroe Islands,FO-U-A,FAE
2561,EKVJ,Stauning Vestjylland  Airport,medium_airport,55.990101,8.35391,DK,Denmark,DK-82,STA
2562,EKYT,Aalborg Airport,large_airport,57.094763,9.84993,DK,Denmark,DK-81,AAL
2563,ELLX,Luxembourg-Findel International Airport,large_airport,49.626845,6.212134,LU,Luxembourg,LU-L,LUX
2564,ENAL,Ålesund Airport,large_airport,62.560443,6.110845,NO,Norway,NO-15,AES
2565,ENAN,"Andøya Airport, Andenes",medium_airport,69.295193,16.139379,NO,Norway,NO-18,ANX
2566,ENAT,Alta Airport,medium_airport,69.976097,23.3717,NO,Norway,NO-56,ALF
2568,ENBN,"Brønnøysund Airport, Brønnøy",medium_airport,65.461098,12.2175,NO,Norway,NO-18,BNN
2569,ENBO,Bodø Airport,large_airport,67.269203,14.3653,NO,Norway,NO-18,BOO
2570,ENBR,"Bergen Airport, Flesland",large_airport,60.2934,5.21814,NO,Norway,NO-46,BGO
2571,ENBS,Båtsfjord Airport,medium_airport,70.60025,29.692612,NO,Norway,NO-56,BJF
2572,ENCN,Kristiansand Airport,large_airport,58.204201,8.08537,NO,Norway,NO-42,KRS
2574,ENDU,Bardufoss Airport,medium_airport,69.055801,18.5404,NO,Norway,NO-55,BDU
2575,ENEV,Harstad/Narvik Airport,large_airport,68.491302,16.678101,NO,Norway,NO-18,EVE
2577,ENFL,Florø Airport,medium_airport,61.583599090576,5.0247201919556,NO,Norway,NO-46,FRO
2578,ENGM,Oslo-Gardermoen International Airport,large_airport,60.193901,11.1004,NO,Norway,NO-32,OSL
2579,ENHD,"Haugesund Airport, Karmøy",medium_airport,59.345299,5.20836,NO,Norway,NO-11,HAU
2581,ENKB,"Kristiansund Airport, Kvernberget",medium_airport,63.111801,7.82452,NO,Norway,NO-15,KSU
2583,ENKR,"Kirkenes Airport, Høybuktmoen",medium_airport,69.7258,29.8913,NO,Norway,NO-56,KKN
